"Fate","Sex","Boat.dibs","Age","Title","Class","Deck","Side","Fare","Fare.pp","Embarked","Family","Survived"
"Perished","male","No",22,"Mr","Third","UNK","UNK",7.25,3.625,"S",1,"0"
"Survived","female","Yes",38,"Mrs","First","C","starboard",71.2833,35.64165,"C",1,"1"
"Survived","female","Yes",26,"Miss","Third","UNK","UNK",7.925,7.925,"S",0,"1"
"Survived","female","Yes",35,"Mrs","First","C","starboard",53.1,26.55,"S",1,"1"
"Perished","male","No",35,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",8.4583,8.4583,"Q",0,"0"
"Perished","male","No",54,"Mr","First","E","port",51.8625,51.8625,"S",0,"0"
"Perished","male","Yes",2,"Master","Third","UNK","UNK",21.075,4.215,"S",4,"0"
"Survived","female","Yes",27,"Mrs","Third","UNK","UNK",11.1333,3.7111,"S",2,"1"
"Survived","female","Yes",14,"Mrs","Second","UNK","UNK",30.0708,15.0354,"C",1,"1"
"Survived","female","Yes",4,"Miss","Third","G","port",16.7,5.56666666666667,"S",2,"1"
"Survived","female","Yes",58,"Miss","First","C","starboard",26.55,26.55,"S",0,"1"
"Perished","male","No",20,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Perished","male","No",39,"Mr","Third","UNK","UNK",31.275,4.46785714285714,"S",6,"0"
"Perished","female","Yes",14,"Miss","Third","UNK","UNK",7.8542,7.8542,"S",0,"0"
"Survived","female","Yes",55,"Mrs","Second","UNK","UNK",16,16,"S",0,"1"
"Perished","male","Yes",2,"Master","Third","UNK","UNK",29.125,4.85416666666667,"Q",5,"0"
"Survived","male","No",30,"Mr","Second","UNK","UNK",13,13,"S",0,"1"
"Perished","female","Yes",31,"Mrs","Third","UNK","UNK",18,9,"S",1,"0"
"Survived","female","Yes",35,"Mrs","Third","UNK","UNK",7.225,7.225,"C",0,"1"
"Perished","male","No",35,"Mr","Second","UNK","UNK",26,26,"S",0,"0"
"Survived","male","No",34,"Mr","Second","D","port",13,13,"S",0,"1"
"Survived","female","Yes",15,"Miss","Third","UNK","UNK",8.0292,8.0292,"Q",0,"1"
"Survived","male","No",28,"Mr","First","A","port",35.5,35.5,"S",0,"1"
"Perished","female","Yes",8,"Miss","Third","UNK","UNK",21.075,4.215,"S",4,"0"
"Survived","female","Yes",38,"Mrs","Third","UNK","UNK",31.3875,4.48392857142857,"S",6,"1"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.225,7.225,"C",0,"0"
"Perished","male","No",19,"Mr","First","C","starboard",263,43.8333333333333,"S",5,"0"
"Survived","female","Yes",21,"Miss","Third","UNK","UNK",7.8792,7.8792,"Q",0,"1"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.8958,7.8958,"S",0,"0"
"Perished","male","No",40,"Noble","First","UNK","UNK",27.7208,27.7208,"C",0,"0"
"Survived","female","Yes",35,"Mrs","First","B","port",146.5208,73.2604,"C",1,"1"
"Survived","female","Yes",21,"Miss","Third","UNK","UNK",7.75,7.75,"Q",0,"1"
"Perished","male","No",66,"Mr","Second","UNK","UNK",10.5,10.5,"S",0,"0"
"Perished","male","No",28,"Mr","First","UNK","UNK",82.1708,41.0854,"C",1,"0"
"Perished","male","No",42,"Mr","First","UNK","UNK",52,26,"S",1,"0"
"Survived","male","No",30,"Mr","Third","UNK","UNK",7.2292,7.2292,"C",0,"1"
"Perished","male","No",21,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Perished","female","Yes",18,"Miss","Third","UNK","UNK",18,6,"S",2,"0"
"Survived","female","Yes",14,"Miss","Third","UNK","UNK",11.2417,5.62085,"C",1,"1"
"Perished","female","Yes",40,"Mrs","Third","UNK","UNK",9.475,4.7375,"S",1,"0"
"Perished","female","Yes",27,"Mrs","Second","UNK","UNK",21,10.5,"S",1,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.8958,7.8958,"C",0,"0"
"Survived","female","Yes",3,"Miss","Second","UNK","UNK",41.5792,10.3948,"C",3,"1"
"Survived","female","Yes",19,"Miss","Third","UNK","UNK",7.8792,7.8792,"Q",0,"1"
"Perished","male","No",30,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",15.5,7.75,"Q",1,"0"
"Survived","female","Yes",21,"Miss","Third","UNK","UNK",7.75,7.75,"Q",0,"1"
"Perished","male","No",30,"Mr","Third","UNK","UNK",21.6792,7.2264,"C",2,"0"
"Perished","female","Yes",18,"Mrs","Third","UNK","UNK",17.8,8.9,"S",1,"0"
"Perished","male","Yes",7,"Master","Third","UNK","UNK",39.6875,6.61458333333333,"S",5,"0"
"Perished","male","No",21,"Mr","Third","UNK","UNK",7.8,7.8,"S",0,"0"
"Survived","female","Yes",49,"Mrs","First","D","starboard",76.7292,38.3646,"C",1,"1"
"Survived","female","Yes",29,"Mrs","Second","UNK","UNK",26,13,"S",1,"1"
"Perished","male","No",65,"Mr","First","B","port",61.9792,30.9896,"C",1,"0"
"Survived","male","No",30,"Mr","First","C","port",35.5,35.5,"S",0,"1"
"Survived","female","Yes",21,"Miss","Second","UNK","UNK",10.5,10.5,"S",0,"1"
"Perished","male","No",28.5,"Mr","Third","UNK","UNK",7.2292,7.2292,"C",0,"0"
"Survived","female","Yes",5,"Miss","Second","UNK","UNK",27.75,6.9375,"S",3,"1"
"Perished","male","Yes",11,"Master","Third","UNK","UNK",46.9,5.8625,"S",7,"0"
"Perished","male","No",22,"Mr","Third","UNK","UNK",7.2292,7.2292,"C",0,"0"
"Survived","female","Yes",38,"Miss","First","B","port",80,80,"S",0,"1"
"Perished","male","No",45,"Mr","First","C","starboard",83.475,41.7375,"S",1,"0"
"Perished","male","Yes",4,"Master","Third","UNK","UNK",27.9,4.65,"S",5,"0"
"Perished","male","No",30,"Mr","First","UNK","UNK",27.7208,27.7208,"C",0,"0"
"Survived","male","Yes",3.5,"Master","Third","UNK","UNK",15.2458,5.08193333333333,"C",2,"1"
"Survived","female","Yes",29,"Mrs","Second","F","starboard",10.5,10.5,"S",0,"1"
"Perished","male","No",19,"Mr","Third","UNK","UNK",8.1583,8.1583,"S",0,"0"
"Survived","female","Yes",17,"Miss","Third","UNK","UNK",7.925,1.13214285714286,"S",6,"1"
"Perished","male","No",26,"Mr","Third","UNK","UNK",8.6625,2.8875,"S",2,"0"
"Perished","male","No",32,"Mr","Second","UNK","UNK",10.5,10.5,"S",0,"0"
"Perished","female","Yes",16,"Miss","Third","UNK","UNK",46.9,5.8625,"S",7,"0"
"Perished","male","No",21,"Mr","Second","UNK","UNK",73.5,73.5,"S",0,"0"
"Perished","male","No",26,"Mr","Third","UNK","UNK",14.4542,7.2271,"C",1,"0"
"Survived","male","No",32,"Mr","Third","UNK","UNK",56.4958,56.4958,"S",0,"1"
"Perished","male","No",25,"Mr","Third","F","starboard",7.65,7.65,"S",0,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.8958,7.8958,"S",0,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Survived","male","Yes",0.83,"Master","Second","UNK","UNK",29,9.66666666666667,"S",2,"1"
"Survived","female","Yes",30,"Miss","Third","UNK","UNK",12.475,12.475,"S",0,"1"
"Perished","male","No",22,"Mr","Third","UNK","UNK",9,9,"S",0,"0"
"Survived","male","No",29,"Mr","Third","UNK","UNK",9.5,9.5,"S",0,"1"
"Survived","female","Yes",21,"Miss","Third","UNK","UNK",7.7875,7.7875,"Q",0,"1"
"Perished","male","No",28,"Mr","First","UNK","UNK",47.1,47.1,"S",0,"0"
"Survived","female","Yes",17,"Miss","Second","UNK","UNK",10.5,10.5,"S",0,"1"
"Survived","female","Yes",33,"Mrs","Third","UNK","UNK",15.85,3.9625,"S",3,"1"
"Perished","male","No",16,"Mr","Third","UNK","UNK",34.375,6.875,"S",4,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Survived","female","Yes",23,"Miss","First","C","starboard",263,43.8333333333333,"S",5,"1"
"Perished","male","No",24,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Perished","male","No",29,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Perished","male","No",20,"Mr","Third","UNK","UNK",7.8542,7.8542,"S",0,"0"
"Perished","male","No",46,"Mr","First","E","starboard",61.175,30.5875,"S",1,"0"
"Perished","male","No",26,"Mr","Third","UNK","UNK",20.575,5.14375,"S",3,"0"
"Perished","male","No",59,"Mr","Third","UNK","UNK",7.25,7.25,"S",0,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Perished","male","No",71,"Mr","First","A","starboard",34.6542,34.6542,"C",0,"0"
"Survived","male","No",23,"Mr","First","D","port",63.3583,31.67915,"C",1,"1"
"Survived","female","Yes",34,"Mrs","Second","UNK","UNK",23,11.5,"S",1,"1"
"Perished","male","No",34,"Mr","Second","UNK","UNK",26,13,"S",1,"0"
"Perished","female","Yes",28,"Miss","Third","UNK","UNK",7.8958,7.8958,"S",0,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.8958,7.8958,"S",0,"0"
"Perished","male","No",21,"Mr","First","D","port",77.2875,38.64375,"S",1,"0"
"Perished","male","No",33,"Mr","Third","UNK","UNK",8.6542,8.6542,"S",0,"0"
"Perished","male","No",37,"Mr","Third","UNK","UNK",7.925,2.64166666666667,"S",2,"0"
"Perished","male","No",28,"Mr","Third","UNK","UNK",7.8958,7.8958,"S",0,"0"
"Survived","female","Yes",21,"Miss","Third","UNK","UNK",7.65,7.65,"S",0,"1"
"Survived","male","No",30,"Mr","Third","UNK","UNK",7.775,7.775,"S",0,"1"
"Perished","male","No",38,"Mr","Third","UNK","UNK",7.8958,7.8958,"S",0,"0"
"Survived","female","Yes",21,"Miss","Third","UNK","UNK",24.15,12.075,"Q",1,"1"
"Perished","male","No",47,"Mr","First","C","port",52,52,"S",0,"0"
"Perished","female","Yes",14.5,"Miss","Third","UNK","UNK",14.4542,7.2271,"C",1,"0"
"Perished","male","No",22,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Perished","female","Yes",20,"Miss","Third","UNK","UNK",9.825,4.9125,"S",1,"0"
"Perished","female","Yes",17,"Miss","Third","UNK","UNK",14.4583,14.4583,"C",0,"0"
"Perished","male","No",21,"Mr","Third","UNK","UNK",7.925,7.925,"S",0,"0"
"Perished","male","No",70.5,"Mr","Third","UNK","UNK",7.75,7.75,"Q",0,"0"
"Perished","male","No",29,"Mr","Second","UNK","UNK",21,10.5,"S",1,"0"
"Perished","male","No",24,"Mr","First","B","port",247.5208,123.7604,"C",1,"0"
"Perished","female","Yes",2,"Miss","Third","UNK","UNK",31.275,4.46785714285714,"S",6,"0"
"Perished","male","No",21,"Mr","Second","UNK","UNK",73.5,24.5,"S",2,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Perished","male","No",32.5,"Mr","Second","UNK","UNK",30.0708,15.0354,"C",1,"0"
"Survived","female","Yes",32.5,"Miss","Second","E","starboard",13,13,"S",0,"1"
"Perished","male","No",54,"Mr","First","D","port",77.2875,38.64375,"S",1,"0"
"Survived","male","Yes",12,"Master","Third","UNK","UNK",11.2417,5.62085,"C",1,"1"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.75,7.75,"Q",0,"0"
"Survived","male","No",24,"Mr","Third","UNK","UNK",7.1417,7.1417,"S",0,"1"
"Survived","female","Yes",21,"Miss","Third","F","starboard",22.3583,7.45276666666667,"C",2,"1"
"Perished","male","No",45,"Mr","Third","UNK","UNK",6.975,6.975,"S",0,"0"
"Perished","male","No",33,"Mr","Third","UNK","UNK",7.8958,7.8958,"C",0,"0"
"Perished","male","No",20,"Mr","Third","UNK","UNK",7.05,7.05,"S",0,"0"
"Perished","female","Yes",47,"Mrs","Third","UNK","UNK",14.5,7.25,"S",1,"0"
"Survived","female","Yes",29,"Mrs","Second","UNK","UNK",26,13,"S",1,"1"
"Perished","male","No",25,"Mr","Second","UNK","UNK",13,13,"S",0,"0"
"Perished","male","No",23,"Mr","Second","UNK","UNK",15.0458,15.0458,"C",0,"0"
"Survived","female","Yes",19,"Miss","First","D","starboard",26.2833,8.7611,"S",2,"1"
"Perished","male","No",37,"Mr","First","C","starboard",53.1,26.55,"S",1,"0"
"Perished","male","No",16,"Mr","Third","UNK","UNK",9.2167,9.2167,"S",0,"0"
"Perished","male","No",24,"Mr","First","B","port",79.2,79.2,"C",0,"0"
"Perished","female","Yes",35,"Mrs","Third","UNK","UNK",15.2458,5.08193333333333,"C",2,"0"
"Survived","female","Yes",22,"Miss","Third","UNK","UNK",7.75,7.75,"S",0,"1"
"Survived","female","Yes",24,"Mrs","Third","UNK","UNK",15.85,7.925,"S",1,"1"
"Perished","male","No",19,"Mr","Third","UNK","UNK",6.75,6.75,"Q",0,"0"
"Perished","male","No",18,"Mr","Second","UNK","UNK",11.5,11.5,"S",0,"0"
"Perished","male","No",19,"Mr","Second","UNK","UNK",36.75,12.25,"S",2,"0"
"Survived","male","No",27,"Mr","Third","UNK","UNK",7.7958,7.7958,"S",0,"1"
"Perished","female","Yes",9,"Miss","Third","UNK","UNK",34.375,6.875,"S",4,"0"
"Perished","male","No",36.5,"Mr","Second","F","port",26,8.66666666666667,"S",2,"0"
"Perished","male","No",42,"Noble","Second","UNK","UNK",13,13,"S",0,"0"
"Perished","male","No",51,"Noble","Second","UNK","UNK",12.525,12.525,"S",0,"0"
"Survived","female","Yes",22,"Mrs","First","C","port",66.6,33.3,"S",1,"1"
"Perished","male","No",55.5,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Perished","male","No",40.5,"Mr","Third","UNK","UNK",14.5,4.83333333333333,"S",2,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.3125,7.3125,"S",0,"0"
"Perished","male","No",51,"Mr","First","UNK","UNK",61.3792,30.6896,"C",1,"0"
"Survived","female","Yes",16,"Miss","Third","UNK","UNK",7.7333,7.7333,"Q",0,"1"
"Perished","male","No",30,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",8.6625,8.6625,"S",0,"0"
"Perished","male","Yes",3.5,"Master","Third","UNK","UNK",69.55,6.32272727272727,"S",10,"0"
"Perished","male","No",44,"Mr","Third","UNK","UNK",16.1,8.05,"S",1,"0"
"Survived","female","Yes",40,"Mrs","Second","UNK","UNK",15.75,15.75,"S",0,"1"
"Perished","male","No",26,"Mr","Third","UNK","UNK",7.775,7.775,"S",0,"0"
"Perished","male","No",17,"Mr","Third","UNK","UNK",8.6625,8.6625,"S",0,"0"
"Perished","male","Yes",1,"Master","Third","UNK","UNK",39.6875,6.61458333333333,"S",5,"0"
"Survived","male","Yes",9,"Master","Third","UNK","UNK",20.525,6.84166666666667,"S",2,"1"
"Survived","female","Yes",35,"Mrs","First","E","starboard",55,27.5,"S",1,"1"
"Perished","female","Yes",45,"Mrs","Third","UNK","UNK",27.9,4.65,"S",5,"0"
"Perished","male","No",30,"Mr","First","UNK","UNK",25.925,25.925,"S",0,"0"
"Perished","male","No",28,"Mr","Third","UNK","UNK",56.4958,56.4958,"S",0,"0"
"Perished","male","No",61,"Mr","First","B","starboard",33.5,33.5,"S",0,"0"
"Perished","male","Yes",4,"Master","Third","UNK","UNK",29.125,4.85416666666667,"Q",5,"0"
"Survived","female","Yes",1,"Miss","Third","UNK","UNK",11.1333,3.7111,"S",2,"1"
"Perished","male","No",21,"Mr","Third","UNK","UNK",7.925,7.925,"S",0,"0"
"Perished","male","No",56,"Mr","First","A","starboard",30.6958,30.6958,"C",0,"0"
"Perished","male","No",18,"Mr","Third","UNK","UNK",7.8542,2.61806666666667,"S",2,"0"
"Perished","male","Yes",3.5,"Master","Third","UNK","UNK",25.4667,5.09334,"S",4,"0"
"Perished","female","Yes",50,"Miss","First","C","starboard",28.7125,28.7125,"C",0,"0"
"Perished","male","No",30,"Mr","Second","UNK","UNK",13,13,"S",0,"0"
"Perished","male","No",36,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Perished","female","Yes",21,"Miss","Third","UNK","UNK",69.55,6.32272727272727,"S",10,"0"
"Perished","male","No",30,"Mr","Second","UNK","UNK",15.05,15.05,"C",0,"0"
"Perished","male","Yes",9,"Master","Third","UNK","UNK",31.3875,4.48392857142857,"S",6,"0"
"Survived","male","Yes",1,"Master","Second","F","port",39,9.75,"S",3,"1"
"Survived","female","Yes",4,"Miss","Third","UNK","UNK",22.025,7.34166666666667,"S",2,"1"
"Perished","male","No",30,"Mr","First","A","port",50,50,"S",0,"0"
"Survived","female","Yes",35,"Mrs","Third","UNK","UNK",15.5,7.75,"Q",1,"1"
"Survived","male","No",45,"Mr","First","UNK","UNK",26.55,26.55,"S",0,"1"
"Perished","male","No",40,"Mr","Third","UNK","UNK",15.5,5.16666666666667,"Q",2,"0"
"Perished","male","No",36,"Mr","Third","UNK","UNK",7.8958,7.8958,"S",0,"0"
"Survived","female","Yes",32,"Mrs","Second","UNK","UNK",13,13,"S",0,"1"
"Perished","male","No",19,"Mr","Second","UNK","UNK",13,13,"S",0,"0"
"Survived","female","Yes",19,"Miss","Third","UNK","UNK",7.8542,3.9271,"S",1,"1"
"Survived","male","Yes",3,"Master","Second","F","port",26,8.66666666666667,"S",2,"1"
"Survived","female","Yes",44,"Mrs","First","B","port",27.7208,27.7208,"C",0,"1"
"Survived","female","Yes",58,"Miss","First","B","port",146.5208,146.5208,"C",0,"1"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.75,7.75,"Q",0,"0"
"Perished","male","No",42,"Mr","Third","UNK","UNK",8.4042,4.2021,"S",1,"0"
"Survived","female","Yes",21,"Miss","Third","UNK","UNK",7.75,7.75,"Q",0,"1"
"Perished","female","Yes",24,"Miss","Second","UNK","UNK",13,13,"S",0,"0"
"Perished","male","No",28,"Mr","Third","UNK","UNK",9.5,9.5,"S",0,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",69.55,6.32272727272727,"S",10,"0"
"Perished","male","No",34,"Mr","Third","UNK","UNK",6.4958,6.4958,"S",0,"0"
"Perished","male","No",45.5,"Mr","Third","UNK","UNK",7.225,7.225,"C",0,"0"
"Survived","male","No",18,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"1"
"Perished","female","Yes",2,"Miss","Third","G","port",10.4625,5.23125,"S",1,"0"
"Perished","male","No",32,"Mr","Third","UNK","UNK",15.85,7.925,"S",1,"0"
"Survived","male","No",26,"Mr","Third","UNK","UNK",18.7875,18.7875,"C",0,"1"
"Survived","female","Yes",16,"Miss","Third","UNK","UNK",7.75,7.75,"Q",0,"1"
"Survived","male","No",40,"Mr","First","A","starboard",31,31,"C",0,"1"
"Perished","male","No",24,"Mr","Third","UNK","UNK",7.05,7.05,"S",0,"0"
"Survived","female","Yes",35,"Miss","Second","UNK","UNK",21,21,"S",0,"1"
"Perished","male","No",22,"Mr","Third","UNK","UNK",7.25,7.25,"S",0,"0"
"Perished","male","No",30,"Mr","Second","UNK","UNK",13,13,"S",0,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.75,3.875,"Q",1,"0"
"Survived","female","Yes",31,"Miss","First","D","port",113.275,56.6375,"C",1,"1"
"Survived","female","Yes",27,"Miss","Third","UNK","UNK",7.925,7.925,"S",0,"1"
"Perished","male","No",42,"Mr","Second","UNK","UNK",27,13.5,"S",1,"0"
"Survived","female","Yes",32,"Miss","First","D","starboard",76.2917,76.2917,"C",0,"1"
"Perished","male","No",30,"Mr","Second","UNK","UNK",10.5,10.5,"S",0,"0"
"Survived","male","No",16,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"1"
"Perished","male","No",27,"Mr","Second","UNK","UNK",13,13,"S",0,"0"
"Perished","male","No",51,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.8958,7.8958,"S",0,"0"
"Survived","male","No",38,"Mr","First","C","starboard",90,45,"S",1,"1"
"Perished","male","No",22,"Mr","Third","UNK","UNK",9.35,9.35,"S",0,"0"
"Survived","male","No",19,"Mr","Second","UNK","UNK",10.5,10.5,"S",0,"1"
"Perished","male","No",20.5,"Mr","Third","UNK","UNK",7.25,7.25,"S",0,"0"
"Perished","male","No",18,"Mr","Second","UNK","UNK",13,13,"S",0,"0"
"Perished","female","Yes",21,"Miss","Third","UNK","UNK",25.4667,5.09334,"S",4,"0"
"Survived","female","Yes",35,"Mrs","First","C","starboard",83.475,41.7375,"S",1,"1"
"Perished","male","No",29,"Mr","Third","UNK","UNK",7.775,7.775,"S",0,"0"
"Perished","male","No",59,"Mr","Second","UNK","UNK",13.5,13.5,"S",0,"0"
"Survived","female","Yes",5,"Miss","Third","UNK","UNK",31.3875,4.48392857142857,"S",6,"1"
"Perished","male","No",24,"Mr","Second","UNK","UNK",10.5,10.5,"S",0,"0"
"Perished","female","Yes",21,"Miss","Third","UNK","UNK",7.55,7.55,"S",0,"0"
"Perished","male","No",44,"Mr","Second","UNK","UNK",26,13,"S",1,"0"
"Survived","female","Yes",8,"Miss","Second","UNK","UNK",26.25,8.75,"S",2,"1"
"Perished","male","No",19,"Mr","Second","UNK","UNK",10.5,10.5,"S",0,"0"
"Perished","male","No",33,"Mr","Second","UNK","UNK",12.275,12.275,"S",0,"0"
"Perished","female","Yes",21,"Miss","Third","UNK","UNK",14.4542,7.2271,"C",1,"0"
"Survived","female","Yes",21,"Miss","Third","UNK","UNK",15.5,7.75,"Q",1,"1"
"Perished","male","No",29,"Mr","Second","UNK","UNK",10.5,10.5,"S",0,"0"
"Perished","male","No",22,"Mr","Third","UNK","UNK",7.125,7.125,"S",0,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.225,7.225,"C",0,"0"
"Perished","male","No",44,"Noble","First","C","port",90,30,"Q",2,"0"
"Perished","female","Yes",25,"Miss","Third","UNK","UNK",7.775,7.775,"S",0,"0"
"Survived","female","Yes",24,"Mrs","Second","UNK","UNK",14.5,4.83333333333333,"S",2,"1"
"Survived","male","No",37,"Mr","First","D","starboard",52.5542,17.5180666666667,"S",2,"1"
"Perished","male","No",54,"Noble","Second","UNK","UNK",26,13,"S",1,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.25,7.25,"S",0,"0"
"Perished","female","Yes",29,"Mrs","Third","G","port",10.4625,3.4875,"S",2,"0"
"Perished","male","No",62,"Mr","First","C","starboard",26.55,26.55,"S",0,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",16.1,8.05,"S",1,"0"
"Perished","female","Yes",41,"Mrs","Third","UNK","UNK",20.2125,6.7375,"S",2,"0"
"Survived","female","Yes",29,"Mrs","Third","UNK","UNK",15.2458,5.08193333333333,"C",2,"1"
"Survived","female","Yes",35,"Mrs","First","UNK","UNK",79.2,79.2,"C",0,"1"
"Survived","female","Yes",30,"Miss","First","B","starboard",86.5,86.5,"S",0,"1"
"Survived","female","Yes",35,"Miss","First","UNK","UNK",512.3292,512.3292,"C",0,"1"
"Survived","female","Yes",50,"Mrs","Second","UNK","UNK",26,13,"S",1,"1"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.75,7.75,"Q",0,"0"
"Survived","male","Yes",3,"Master","Third","UNK","UNK",31.3875,4.48392857142857,"S",6,"1"
"Perished","male","No",52,"Mr","First","E","starboard",79.65,26.55,"S",2,"0"
"Perished","male","No",40,"Mr","First","B","port",61.9792,61.9792,"S",0,"0"
"Perished","female","Yes",21,"Miss","Third","UNK","UNK",7.75,7.75,"Q",0,"0"
"Perished","male","No",36,"Mr","Second","UNK","UNK",10.5,10.5,"S",0,"0"
"Perished","male","No",16,"Mr","Third","UNK","UNK",39.6875,6.61458333333333,"S",5,"0"
"Survived","male","No",25,"Mr","Third","UNK","UNK",7.775,3.8875,"S",1,"1"
"Survived","female","Yes",58,"Mrs","First","C","starboard",153.4625,76.73125,"S",1,"1"
"Survived","female","Yes",35,"Miss","First","C","starboard",135.6333,135.6333,"S",0,"1"
"Perished","male","No",30,"Mr","First","UNK","UNK",31,31,"S",0,"0"
"Survived","male","No",25,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"1"
"Survived","female","Yes",41,"Mrs","Second","UNK","UNK",19.5,9.75,"S",1,"1"
"Perished","male","No",37,"Mr","First","C","port",29.7,14.85,"C",1,"0"
"Survived","female","Yes",21,"Miss","Third","UNK","UNK",7.75,7.75,"Q",0,"1"
"Survived","female","Yes",63,"Miss","First","D","starboard",77.9583,38.97915,"S",1,"1"
"Perished","female","Yes",45,"Miss","Third","UNK","UNK",7.75,7.75,"S",0,"0"
"Perished","male","No",30,"Mr","Second","UNK","UNK",15.0229,15.0229,"S",0,"0"
"Perished","male","Yes",7,"Master","Third","UNK","UNK",29.125,4.85416666666667,"Q",5,"0"
"Survived","female","Yes",35,"Mrs","Third","UNK","UNK",20.25,6.75,"S",2,"1"
"Perished","male","No",65,"Mr","Third","UNK","UNK",7.75,7.75,"Q",0,"0"
"Perished","male","No",28,"Mr","Third","UNK","UNK",7.8542,7.8542,"S",0,"0"
"Perished","male","No",16,"Mr","Third","UNK","UNK",9.5,9.5,"S",0,"0"
"Survived","male","No",19,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"1"
"Perished","male","No",30,"Mr","First","A","starboard",26,26,"S",0,"0"
"Perished","male","No",33,"Mr","Third","UNK","UNK",8.6625,8.6625,"C",0,"0"
"Survived","male","No",30,"Mr","Third","UNK","UNK",9.5,9.5,"S",0,"1"
"Perished","male","No",22,"Mr","Third","UNK","UNK",7.8958,7.8958,"S",0,"0"
"Survived","male","No",42,"Mr","Second","UNK","UNK",13,13,"S",0,"1"
"Survived","female","Yes",22,"Miss","Third","UNK","UNK",7.75,7.75,"Q",0,"1"
"Survived","female","Yes",26,"Miss","First","UNK","UNK",78.85,78.85,"S",0,"1"
"Survived","female","Yes",19,"Mrs","First","B","starboard",91.0792,45.5396,"C",1,"1"
"Perished","male","No",36,"Mr","Second","D","UNK",12.875,12.875,"C",0,"0"
"Perished","female","Yes",24,"Miss","Third","UNK","UNK",8.85,8.85,"S",0,"0"
